rank,event,tier,event_start,final_date,final_date_basis,session,local_start,local_timezone,window_date,ist_start,timing_cells_passed,status,clash_check,continuity_trigger,offer,rights,timing_confidence,upcoming,score
83,Paris,Masters 1000,2026-11-02,2026-11-08,ATP calendar end date (O),Night session,19:00 (modelled),Europe/Paris,2026-11-02,23:30,2/12,Late: remind + replay,Football not checked (no 2026-27 fixture data captured),Race to Turin,Reminder; INR 39 replay default; 10% late discount only as a test arm,Covered: ATP Tour package (C),"Medium: published date, modelled time (A)",True,59.2
84,Turin,Finals,2026-11-15,2026-11-22,ATP calendar end date (O),Night session,19:00 (modelled),Europe/Rome,2026-11-15,23:30,2/12,Late: remind + replay,Football not checked (no 2026-27 fixture data captured),Season finale,Reminder; INR 39 replay default; 10% late discount only as a test arm,Covered: ATP Tour package (C),"Medium: published date, modelled time (A)",True,59.2
85,Buenos Aires,250,2026-02-09,2026-02-15,Weekly event rule (A),Day session,14:00 (modelled),America/Argentina/Buenos_Aires,2026-02-09,22:30,7/12,Late: remind + replay,La Liga fixtures overlapping: 2,Post-Slam follow-through: Australian Open,Reminder; INR 39 replay default; 10% late discount only as a test arm,Covered: ATP Tour package (C),"Low: inherited date, modelled time (A)",False,54.8
86,Brussels,250,2026-10-19,2026-10-25,ATP calendar end date (O),Night session,19:00 (modelled),Europe/Brussels,2026-10-19,22:30,7/12,Late: remind + replay,Football not checked (no 2026-27 fixture data captured),Race to Turin,Reminder; INR 39 replay default; 10% late discount only as a test arm,Covered: ATP Tour package (C),"Low: inherited date, modelled time (A)",True,54.8
87,Lyon,250,2026-10-19,2026-10-25,ATP calendar end date (O),Night session,19:00 (modelled),Europe/Paris,2026-10-19,22:30,7/12,Late: remind + replay,Football not checked (no 2026-27 fixture data captured),Race to Turin,Reminder; INR 39 replay default; 10% late discount only as a test arm,Covered: ATP Tour package (C),"Low: inherited date, modelled time (A)",True,54.8
88,London (Queen's),500,2026-06-15,2026-06-21,Weekly event rule (A),Night session,19:00 (modelled),Europe/London,2026-06-15,23:30,2/12,Late: remind + replay,No overlap found,Post-Slam follow-through: Roland Garros,Reminder; INR 39 replay default; 10% late discount only as a test arm,Covered: ATP Tour package (C),"Low: inherited date, modelled time (A)",False,54.7
89,Bucharest,250,2026-03-30,2026-04-05,Weekly event rule (A),Night session,19:00 (modelled),Europe/Bucharest,2026-03-30,21:30,11/12,Late: remind + replay,La Liga fixtures overlapping: 2,No trigger,Reminder; INR 39 replay default; 10% late discount only as a test arm,Covered: ATP Tour package (C),"Medium: published date, modelled time (A)",False,53.2
90,Montreal,Masters 1000,2026-08-02,2026-08-13,"Start + 11 days, 12-day Masters (A)",Day session,14:00 (modelled),America/Toronto,2026-08-02,23:30,2/12,Late: remind + replay,No overlap found,No trigger,Reminder; INR 39 replay default; 10% late discount only as a test arm,Covered: ATP Tour package (C),"Medium: published date, modelled time (A)",False,51.7
91,Rio de Janeiro,500,2026-02-16,2026-02-22,Weekly event rule (A),Day session,14:00 (modelled),America/Sao_Paulo,2026-02-16,22:30,7/12,Late: remind + replay,La Liga fixtures overlapping: 3,No trigger,Reminder; INR 39 replay default; 10% late discount only as a test arm,Covered: ATP Tour package (C),"Low: inherited date, modelled time (A)",False,48.8
92,Barcelona,500,2026-04-13,2026-04-19,Weekly event rule (A),Night session,19:00 (modelled),Europe/Madrid,2026-04-13,22:30,7/12,Late: remind + replay,La Liga fixtures overlapping: 1,No trigger,Reminder; INR 39 replay default; 10% late discount only as a test arm,Covered: ATP Tour package (C),"Medium: published date, modelled time (A)",False,48.8
93,Munich,500,2026-04-13,2026-04-19,Weekly event rule (A),Night session,19:00 (modelled),Europe/Berlin,2026-04-13,22:30,7/12,Late: remind + replay,La Liga fixtures overlapping: 1,No trigger,Reminder; INR 39 replay default; 10% late discount only as a test arm,Covered: ATP Tour package (C),"Low: inherited date, modelled time (A)",False,48.8
94,Hamburg,500,2026-05-17,2026-05-23,Weekly event rule (A),Night session,19:00 (modelled),Europe/Berlin,2026-05-17,22:30,7/12,Late: remind + replay,La Liga fixtures overlapping: 10,No trigger,Reminder; INR 39 replay default; 10% late discount only as a test arm,Covered: ATP Tour package (C),"Medium: published date, modelled time (A)",False,48.8
95,Mallorca,250,2026-06-21,2026-06-27,Weekly event rule (A),Night session,19:00 (modelled),Europe/Madrid,2026-06-21,22:30,7/12,Late: remind + replay,No overlap found,No trigger,Reminder; INR 39 replay default; 10% late discount only as a test arm,Covered: ATP Tour package (C),"Medium: published date, modelled time (A)",False,47.3
96,Rotterdam,500,2026-02-09,2026-02-15,Weekly event rule (A),Night session,19:00 (modelled),Europe/Amsterdam,2026-02-09,23:30,2/12,Late: remind + replay,La Liga fixtures overlapping: 4,Post-Slam follow-through: Australian Open,Reminder; INR 39 replay default; 10% late discount only as a test arm,Covered: ATP Tour package (C),"Low: inherited date, modelled time (A)",False,47.2
97,Basel,500,2026-10-26,2026-11-01,ATP calendar end date (O),Night session,19:00 (modelled),Europe/Zurich,2026-10-26,23:30,2/12,Late: remind + replay,Football not checked (no 2026-27 fixture data captured),Race to Turin,Reminder; INR 39 replay default; 10% late discount only as a test arm,Covered: ATP Tour package (C),"Medium: published date, modelled time (A)",True,47.2
98,Vienna,500,2026-10-26,2026-11-01,ATP calendar end date (O),Night session,19:00 (modelled),Europe/Vienna,2026-10-26,23:30,2/12,Late: remind + replay,Football not checked (no 2026-27 fixture data captured),Race to Turin,Reminder; INR 39 replay default; 10% late discount only as a test arm,Covered: ATP Tour package (C),"Low: inherited date, modelled time (A)",True,47.2
99,Estoril,250,2026-07-20,2026-07-26,Weekly event rule (A),Night session,19:00 (modelled),Europe/Lisbon,2026-07-20,23:30,2/12,Late: remind + replay,No overlap found,Post-Slam follow-through: Wimbledon,Reminder; INR 39 replay default; 10% late discount only as a test arm,Covered: ATP Tour package (C),"Low: inherited date, modelled time (A)",False,45.7
100,Miami,Masters 1000,2026-03-18,2026-03-29,"Start + 11 days, 12-day Masters (A)",Day session,14:00 (modelled),America/New_York,2026-03-18,23:30,2/12,Late: remind + replay,La Liga fixtures overlapping: 6,No trigger,Reminder; INR 39 replay default; 10% late discount only as a test arm,Covered: ATP Tour package (C),"Medium: published date, modelled time (A)",False,44.2
101,Cincinnati,Masters 1000,2026-08-13,2026-08-24,"Start + 11 days, 12-day Masters (A)",Day session,14:00 (modelled),America/New_York,2026-08-13,23:30,2/12,Late: remind + replay,La Liga fixtures overlapping: 11,No trigger,Reminder; INR 39 replay default; 10% late discount only as a test arm,Covered: ATP Tour package (C),"Medium: published date, modelled time (A)",False,44.2
102,Santiago,250,2026-02-23,2026-03-01,Weekly event rule (A),Day session,14:00 (modelled),America/Santiago,2026-02-23,22:30,7/12,Late: remind + replay,La Liga fixtures overlapping: 2,No trigger,Reminder; INR 39 replay default; 10% late discount only as a test arm,Covered: ATP Tour package (C),"Low: inherited date, modelled time (A)",False,39.8
103,Geneva,250,2026-05-17,2026-05-23,Weekly event rule (A),Night session,19:00 (modelled),Europe/Zurich,2026-05-17,22:30,7/12,Late: remind + replay,La Liga fixtures overlapping: 10,No trigger,Reminder; INR 39 replay default; 10% late discount only as a test arm,Covered: ATP Tour package (C),"Low: inherited date, modelled time (A)",False,39.8
104,Washington,500,2026-07-27,2026-08-02,Weekly event rule (A),Day session,14:00 (modelled),America/New_York,2026-07-27,23:30,2/12,Late: remind + replay,No overlap found,No trigger,Reminder; INR 39 replay default; 10% late discount only as a test arm,Covered: ATP Tour package (C),"Medium: published date, modelled time (A)",False,39.7
105,Montpellier,250,2026-02-02,2026-02-08,Weekly event rule (A),Night session,19:00 (modelled),Europe/Paris,2026-02-02,23:30,2/12,Late: remind + replay,La Liga fixtures overlapping: 3,Post-Slam follow-through: Australian Open,Reminder; INR 39 replay default; 10% late discount only as a test arm,Covered: ATP Tour package (C),"Medium: published date, modelled time (A)",False,38.2
106,Buenos Aires,250,2026-02-09,2026-02-15,Weekly event rule (A),Final,15:00 (modelled),America/Argentina/Buenos_Aires,2026-02-15,23:30,2/12,Late: remind + replay,La Liga fixtures overlapping: 2,Post-Slam follow-through: Australian Open,Reminder; INR 39 replay default; 10% late discount only as a test arm,Covered: ATP Tour package (C),"Low: inherited date, modelled time (A)",False,38.2
107,Doha,500,2026-02-16,2026-02-21,Official order of play (O),Final,21:00 (scheduled),Asia/Qatar,2026-02-21,23:30,2/12,Late: remind + replay,La Liga fixtures overlapping: 2,No trigger,Reminder; INR 39 replay default; 10% late discount only as a test arm,Covered: ATP Tour package (C),High: official order of play (O),False,32.2
108,Rio de Janeiro,500,2026-02-16,2026-02-22,Weekly event rule (A),Final,15:00 (modelled),America/Sao_Paulo,2026-02-22,23:30,2/12,Late: remind + replay,La Liga fixtures overlapping: 2,No trigger,Reminder; INR 39 replay default; 10% late discount only as a test arm,Covered: ATP Tour package (C),"Low: inherited date, modelled time (A)",False,32.2
109,Eastbourne,250,2026-06-22,2026-06-27,Weekly event rule (A),Night session,19:00 (modelled),Europe/London,2026-06-22,23:30,2/12,Late: remind + replay,No overlap found,No trigger,Reminder; INR 39 replay default; 10% late discount only as a test arm,Covered: ATP Tour package (C),"Medium: published date, modelled time (A)",False,30.7
110,Stockholm,250,2026-11-08,2026-11-14,ATP calendar end date (O),Night session,19:00 (modelled),Europe/Stockholm,2026-11-08,23:30,2/12,Late: remind + replay,F1: Brazilian Grand Prix; Football not checked (no 2026-27 fixture data captured),Race to Turin,Reminder; INR 39 replay default; 10% late discount only as a test arm,Covered: ATP Tour package (C),"Medium: published date, modelled time (A)",True,30.7
111,Santiago,250,2026-02-23,2026-03-01,Weekly event rule (A),Final,15:00 (modelled),America/Santiago,2026-03-01,23:30,2/12,Late: remind + replay,La Liga fixtures overlapping: 2,No trigger,Reminder; INR 39 replay default; 10% late discount only as a test arm,Covered: ATP Tour package (C),"Low: inherited date, modelled time (A)",False,23.2
112,Marrakech,250,2026-03-30,2026-04-05,Weekly event rule (A),Night session,19:00 (modelled),Africa/Casablanca,2026-03-30,23:30,2/12,Late: remind + replay,La Liga fixtures overlapping: 3,No trigger,Reminder; INR 39 replay default; 10% late discount only as a test arm,Covered: ATP Tour package (C),"Low: inherited date, modelled time (A)",False,23.2
113,Winston-Salem,250,2026-08-23,2026-08-29,Weekly event rule (A),Day session,14:00 (modelled),America/New_York,2026-08-23,23:30,2/12,Late: remind + replay,La Liga fixtures overlapping: 10,No trigger,Reminder; INR 39 replay default; 10% late discount only as a test arm,Covered: ATP Tour package (C),"Medium: published date, modelled time (A)",False,23.2
114,Dallas,500,2026-02-09,2026-02-15,Weekly event rule (A),Night session,19:00 (modelled),America/Chicago,2026-02-09,06:30,0/12,Overnight: replay only,No overlap found,Post-Slam follow-through: Australian Open,INR 39 replay where rights permit,Covered: ATP Tour package (C),"Medium: published date, modelled time (A)",False,48.0
115,Miami,Masters 1000,2026-03-18,2026-03-29,"Start + 11 days, 12-day Masters (A)",Night session,19:00 (modelled),America/New_York,2026-03-18,04:30,0/12,Overnight: replay only,No overlap found,No trigger,INR 39 replay where rights permit,Covered: ATP Tour package (C),"Medium: published date, modelled time (A)",False,45.0
116,Montreal,Masters 1000,2026-08-02,2026-08-13,"Start + 11 days, 12-day Masters (A)",Night session,19:00 (modelled),America/Toronto,2026-08-02,04:30,0/12,Overnight: replay only,No overlap found,No trigger,INR 39 replay where rights permit,Covered: ATP Tour package (C),"Medium: published date, modelled time (A)",False,45.0
117,Montreal,Masters 1000,2026-08-02,2026-08-13,"Start + 11 days, 12-day Masters (A)",Final,15:00 (modelled),America/Toronto,2026-08-13,00:30,0/12,Overnight: replay only,No overlap found,No trigger,INR 39 replay where rights permit,Covered: ATP Tour package (C),"Medium: published date, modelled time (A)",False,45.0
118,Cincinnati,Masters 1000,2026-08-13,2026-08-24,"Start + 11 days, 12-day Masters (A)",Night session,19:00 (modelled),America/New_York,2026-08-13,04:30,0/12,Overnight: replay only,No overlap found,No trigger,INR 39 replay where rights permit,Covered: ATP Tour package (C),"Medium: published date, modelled time (A)",False,45.0
119,Dallas,500,2026-02-09,2026-02-15,Weekly event rule (A),Day session,14:00 (modelled),America/Chicago,2026-02-09,01:30,0/12,Overnight: replay only,La Liga fixtures overlapping: 3,Post-Slam follow-through: Australian Open,INR 39 replay where rights permit,Covered: ATP Tour package (C),"Medium: published date, modelled time (A)",False,40.5
120,Dallas,500,2026-02-09,2026-02-15,Weekly event rule (A),Final,15:00 (modelled),America/Chicago,2026-02-15,02:30,0/12,Overnight: replay only,La Liga fixtures overlapping: 1,Post-Slam follow-through: Australian Open,INR 39 replay where rights permit,Covered: ATP Tour package (C),"Medium: published date, modelled time (A)",False,40.5
121,Indian Wells,Masters 1000,2026-03-04,2026-03-15,"Start + 11 days, 12-day Masters (A)",Day session,14:00 (modelled),America/Los_Angeles,2026-03-04,02:30,0/12,Overnight: replay only,La Liga fixtures overlapping: 6,No trigger,INR 39 replay where rights permit,Covered: ATP Tour package (C),"Medium: published date, modelled time (A)",False,37.5
122,Indian Wells,Masters 1000,2026-03-04,2026-03-15,Official order of play (O),Final,14:00 (not before),America/Los_Angeles,2026-03-15,02:30,0/12,Overnight: replay only,La Liga fixtures overlapping: 1,No trigger,INR 39 replay where rights permit,Covered: ATP Tour package (C),High: official order of play (O),False,37.5
123,Cincinnati,Masters 1000,2026-08-13,2026-08-24,"Start + 11 days, 12-day Masters (A)",Final,15:00 (modelled),America/New_York,2026-08-24,00:30,0/12,Overnight: replay only,La Liga fixtures overlapping: 2,No trigger,INR 39 replay where rights permit,Covered: ATP Tour package (C),"Medium: published date, modelled time (A)",False,37.5
124,Acapulco,500,2026-02-23,2026-03-01,Weekly event rule (A),Night session,19:00 (modelled),America/Mexico_City,2026-02-23,06:30,0/12,Overnight: replay only,No overlap found,No trigger,INR 39 replay where rights permit,Covered: ATP Tour package (C),"Medium: published date, modelled time (A)",False,33.0
125,Washington,500,2026-07-27,2026-08-02,Weekly event rule (A),Night session,19:00 (modelled),America/New_York,2026-07-27,04:30,0/12,Overnight: replay only,No overlap found,No trigger,INR 39 replay where rights permit,Covered: ATP Tour package (C),"Medium: published date, modelled time (A)",False,33.0
126,Washington,500,2026-07-27,2026-08-02,Weekly event rule (A),Final,15:00 (modelled),America/New_York,2026-08-02,00:30,0/12,Overnight: replay only,No overlap found,No trigger,INR 39 replay where rights permit,Covered: ATP Tour package (C),"Medium: published date, modelled time (A)",False,33.0
127,Buenos Aires,250,2026-02-09,2026-02-15,Weekly event rule (A),Night session,19:00 (modelled),America/Argentina/Buenos_Aires,2026-02-09,03:30,0/12,Overnight: replay only,La Liga fixtures overlapping: 3,Post-Slam follow-through: Australian Open,INR 39 replay where rights permit,Covered: ATP Tour package (C),"Low: inherited date, modelled time (A)",False,31.5
128,Rio de Janeiro,500,2026-02-16,2026-02-22,Weekly event rule (A),Night session,19:00 (modelled),America/Sao_Paulo,2026-02-16,03:30,0/12,Overnight: replay only,La Liga fixtures overlapping: 3,No trigger,INR 39 replay where rights permit,Covered: ATP Tour package (C),"Low: inherited date, modelled time (A)",False,25.5
129,Acapulco,500,2026-02-23,2026-03-01,Weekly event rule (A),Day session,14:00 (modelled),America/Mexico_City,2026-02-23,01:30,0/12,Overnight: replay only,La Liga fixtures overlapping: 3,No trigger,INR 39 replay where rights permit,Covered: ATP Tour package (C),"Medium: published date, modelled time (A)",False,25.5
130,Acapulco,500,2026-02-23,2026-03-01,Weekly event rule (A),Final,15:00 (modelled),America/Mexico_City,2026-03-01,02:30,0/12,Overnight: replay only,La Liga fixtures overlapping: 1,No trigger,INR 39 replay where rights permit,Covered: ATP Tour package (C),"Medium: published date, modelled time (A)",False,25.5
131,Auckland,250,2026-01-12,2026-01-17,Weekly event rule (A),Day session,14:00 (modelled),Pacific/Auckland,2026-01-12,06:30,0/12,Overnight: replay only,No overlap found,No trigger,INR 39 replay where rights permit,Covered: ATP Tour package (C),"Low: inherited date, modelled time (A)",False,24.0
132,Delray Beach,250,2026-02-16,2026-02-22,Weekly event rule (A),Night session,19:00 (modelled),America/New_York,2026-02-16,05:30,0/12,Overnight: replay only,No overlap found,No trigger,INR 39 replay where rights permit,Covered: ATP Tour package (C),"Low: inherited date, modelled time (A)",False,24.0
133,Houston,250,2026-03-30,2026-04-05,Weekly event rule (A),Night session,19:00 (modelled),America/Chicago,2026-03-30,05:30,0/12,Overnight: replay only,No overlap found,No trigger,INR 39 replay where rights permit,Covered: ATP Tour package (C),"Low: inherited date, modelled time (A)",False,24.0
134,Los Cabos,250,2026-07-27,2026-08-02,Weekly event rule (A),Day session,14:00 (modelled),America/Mazatlan,2026-07-27,02:30,0/12,Overnight: replay only,No overlap found,No trigger,INR 39 replay where rights permit,Covered: ATP Tour package (C),"Low: inherited date, modelled time (A)",False,24.0
135,Los Cabos,250,2026-07-27,2026-08-02,Weekly event rule (A),Final,15:00 (modelled),America/Mazatlan,2026-08-02,03:30,0/12,Overnight: replay only,No overlap found,No trigger,INR 39 replay where rights permit,Covered: ATP Tour package (C),"Low: inherited date, modelled time (A)",False,24.0
136,Winston-Salem,250,2026-08-23,2026-08-29,Weekly event rule (A),Night session,19:00 (modelled),America/New_York,2026-08-23,04:30,0/12,Overnight: replay only,No overlap found,No trigger,INR 39 replay where rights permit,Covered: ATP Tour package (C),"Medium: published date, modelled time (A)",False,24.0
137,Delray Beach,250,2026-02-16,2026-02-22,Weekly event rule (A),Day session,14:00 (modelled),America/New_York,2026-02-16,00:30,0/12,Overnight: replay only,La Liga fixtures overlapping: 5,No trigger,INR 39 replay where rights permit,Covered: ATP Tour package (C),"Low: inherited date, modelled time (A)",False,16.5
138,Delray Beach,250,2026-02-16,2026-02-22,Weekly event rule (A),Final,15:00 (modelled),America/New_York,2026-02-22,01:30,0/12,Overnight: replay only,La Liga fixtures overlapping: 1,No trigger,INR 39 replay where rights permit,Covered: ATP Tour package (C),"Low: inherited date, modelled time (A)",False,16.5
139,Santiago,250,2026-02-23,2026-03-01,Weekly event rule (A),Night session,19:00 (modelled),America/Santiago,2026-02-23,03:30,0/12,Overnight: replay only,La Liga fixtures overlapping: 3,No trigger,INR 39 replay where rights permit,Covered: ATP Tour package (C),"Low: inherited date, modelled time (A)",False,16.5
140,Houston,250,2026-03-30,2026-04-05,Weekly event rule (A),Day session,14:00 (modelled),America/Chicago,2026-03-30,00:30,0/12,Overnight: replay only,La Liga fixtures overlapping: 2,No trigger,INR 39 replay where rights permit,Covered: ATP Tour package (C),"Low: inherited date, modelled time (A)",False,16.5
141,Houston,250,2026-03-30,2026-04-05,Weekly event rule (A),Final,15:00 (modelled),America/Chicago,2026-04-05,01:30,0/12,Overnight: replay only,La Liga fixtures overlapping: 1,No trigger,INR 39 replay where rights permit,Covered: ATP Tour package (C),"Low: inherited date, modelled time (A)",False,16.5
142,Winston-Salem,250,2026-08-23,2026-08-29,Official order of play (O),Final,16:00 (not before),America/New_York,2026-08-29,01:30,0/12,Overnight: replay only,La Liga fixtures overlapping: 1,No trigger,INR 39 replay where rights permit,Covered: ATP Tour package (C),High: official order of play (O),False,16.5
143,Shanghai,Masters 1000,2026-10-07,2026-10-18,ATP calendar end date (O),Day session,14:00 (modelled),Asia/Shanghai,2026-10-07,11:30,0/12,Daytime: highlights,Football not checked (no 2026-27 fixture data captured),Race to Turin,Highlights and next-occasion prompt; no live acquisition spend,Covered: ATP Tour package (C),"Medium: published date, modelled time (A)",True,52.5
144,Shanghai,Masters 1000,2026-10-07,2026-10-18,ATP calendar end date (O),Final,15:00 (modelled),Asia/Shanghai,2026-10-18,12:30,0/12,Daytime: highlights,Football not checked (no 2026-27 fixture data captured),Race to Turin,Highlights and next-occasion prompt; no live acquisition spend,Covered: ATP Tour package (C),"Medium: published date, modelled time (A)",True,52.5
145,Chengdu,250,2026-09-23,2026-09-29,ATP calendar end date (O),Day session,14:00 (modelled),Asia/Shanghai,2026-09-23,11:30,0/12,Daytime: highlights,Football not checked (no 2026-27 fixture data captured),Post-Slam follow-through: US Open,Highlights and next-occasion prompt; no live acquisition spend,Covered: ATP Tour package (C),"Medium: published date, modelled time (A)",True,31.5
146,Hangzhou,250,2026-09-23,2026-09-29,ATP calendar end date (O),Day session,14:00 (modelled),Asia/Shanghai,2026-09-23,11:30,0/12,Daytime: highlights,Football not checked (no 2026-27 fixture data captured),Post-Slam follow-through: US Open,Highlights and next-occasion prompt; no live acquisition spend,Covered: ATP Tour package (C),"Low: inherited date, modelled time (A)",True,31.5
147,Chengdu,250,2026-09-23,2026-09-29,ATP calendar end date (O),Final,15:00 (modelled),Asia/Shanghai,2026-09-29,12:30,0/12,Daytime: highlights,Football not checked (no 2026-27 fixture data captured),Post-Slam follow-through: US Open,Highlights and next-occasion prompt; no live acquisition spend,Covered: ATP Tour package (C),"Medium: published date, modelled time (A)",True,31.5
148,Hangzhou,250,2026-09-23,2026-09-29,ATP calendar end date (O),Final,15:00 (modelled),Asia/Shanghai,2026-09-29,12:30,0/12,Daytime: highlights,Football not checked (no 2026-27 fixture data captured),Post-Slam follow-through: US Open,Highlights and next-occasion prompt; no live acquisition spend,Covered: ATP Tour package (C),"Low: inherited date, modelled time (A)",True,31.5
149,Almaty,250,2026-10-19,2026-10-25,ATP calendar end date (O),Day session,14:00 (modelled),Asia/Almaty,2026-10-19,14:30,0/12,Daytime: highlights,Football not checked (no 2026-27 fixture data captured),Race to Turin,Highlights and next-occasion prompt; no live acquisition spend,Covered: ATP Tour package (C),"Medium: published date, modelled time (A)",True,31.5
150,Indian Wells,Masters 1000,2026-03-04,2026-03-15,"Start + 11 days, 12-day Masters (A)",Night session,19:00 (modelled),America/Los_Angeles,2026-03-04,07:30,0/12,Daytime: highlights,F1: Australian Grand Prix,No trigger,Highlights and next-occasion prompt; no live acquisition spend,Covered: ATP Tour package (C),"Medium: published date, modelled time (A)",False,30.0
151,Tokyo,500,2026-09-30,2026-10-06,ATP calendar end date (O),Final,15:00 (modelled),Asia/Tokyo,2026-10-06,11:30,0/12,Daytime: highlights,Football not checked (no 2026-27 fixture data captured),No trigger,Highlights and next-occasion prompt; no live acquisition spend,Covered: ATP Tour package (C),"Medium: published date, modelled time (A)",True,25.5
152,Beijing,500,2026-09-30,2026-10-06,ATP calendar end date (O),Final,15:00 (modelled),Asia/Shanghai,2026-10-06,12:30,0/12,Daytime: highlights,Football not checked (no 2026-27 fixture data captured),No trigger,Highlights and next-occasion prompt; no live acquisition spend,Covered: ATP Tour package (C),"Low: inherited date, modelled time (A)",True,25.5
153,Brisbane,250,2026-01-04,2026-01-11,Weekly event rule (A),Day session,14:00 (modelled),Australia/Brisbane,2026-01-04,09:30,0/12,Daytime: highlights,No overlap found,No trigger,Highlights and next-occasion prompt; no live acquisition spend,Covered: ATP Tour package (C),"Medium: published date, modelled time (A)",False,24.0
154,Brisbane,250,2026-01-04,2026-01-11,Weekly event rule (A),Night session,19:00 (modelled),Australia/Brisbane,2026-01-04,14:30,0/12,Daytime: highlights,No overlap found,No trigger,Highlights and next-occasion prompt; no live acquisition spend,Covered: ATP Tour package (C),"Medium: published date, modelled time (A)",False,24.0
155,Hong Kong,250,2026-01-05,2026-01-11,Weekly event rule (A),Day session,14:00 (modelled),Asia/Hong_Kong,2026-01-05,11:30,0/12,Daytime: highlights,No overlap found,No trigger,Highlights and next-occasion prompt; no live acquisition spend,Covered: ATP Tour package (C),"Medium: published date, modelled time (A)",False,24.0
156,Brisbane,250,2026-01-04,2026-01-11,Official order of play (O),Final,18:30 (not before),Australia/Brisbane,2026-01-11,14:00,0/12,Daytime: highlights,No overlap found,No trigger,Highlights and next-occasion prompt; no live acquisition spend,Covered: ATP Tour package (C),High: official order of play (O),False,24.0
157,Hong Kong,250,2026-01-05,2026-01-11,Official order of play (O),Final,15:30 (scheduled),Asia/Hong_Kong,2026-01-11,13:00,0/12,Daytime: highlights,No overlap found,No trigger,Highlights and next-occasion prompt; no live acquisition spend,Covered: ATP Tour package (C),High: official order of play (O),False,24.0
158,Adelaide,250,2026-01-12,2026-01-17,Weekly event rule (A),Day session,14:00 (modelled),Australia/Adelaide,2026-01-12,09:00,0/12,Daytime: highlights,No overlap found,No trigger,Highlights and next-occasion prompt; no live acquisition spend,Covered: ATP Tour package (C),"Medium: published date, modelled time (A)",False,24.0
159,Adelaide,250,2026-01-12,2026-01-17,Weekly event rule (A),Night session,19:00 (modelled),Australia/Adelaide,2026-01-12,14:00,0/12,Daytime: highlights,No overlap found,No trigger,Highlights and next-occasion prompt; no live acquisition spend,Covered: ATP Tour package (C),"Medium: published date, modelled time (A)",False,24.0
160,Auckland,250,2026-01-12,2026-01-17,Weekly event rule (A),Night session,19:00 (modelled),Pacific/Auckland,2026-01-12,11:30,0/12,Daytime: highlights,No overlap found,No trigger,Highlights and next-occasion prompt; no live acquisition spend,Covered: ATP Tour package (C),"Low: inherited date, modelled time (A)",False,24.0
161,Adelaide,250,2026-01-12,2026-01-17,Weekly event rule (A),Final,15:00 (modelled),Australia/Adelaide,2026-01-17,10:00,0/12,Daytime: highlights,No overlap found,No trigger,Highlights and next-occasion prompt; no live acquisition spend,Covered: ATP Tour package (C),"Medium: published date, modelled time (A)",False,24.0
162,Auckland,250,2026-01-12,2026-01-17,Weekly event rule (A),Final,15:00 (modelled),Pacific/Auckland,2026-01-17,07:30,0/12,Daytime: highlights,No overlap found,No trigger,Highlights and next-occasion prompt; no live acquisition spend,Covered: ATP Tour package (C),"Low: inherited date, modelled time (A)",False,24.0
163,Los Cabos,250,2026-07-27,2026-08-02,Weekly event rule (A),Night session,19:00 (modelled),America/Mazatlan,2026-07-27,07:30,0/12,Daytime: highlights,No overlap found,No trigger,Highlights and next-occasion prompt; no live acquisition spend,Covered: ATP Tour package (C),"Low: inherited date, modelled time (A)",False,24.0
164,Tokyo,500,2026-09-30,2026-10-06,ATP calendar end date (O),Day session,14:00 (modelled),Asia/Tokyo,2026-09-30,10:30,0/12,Daytime: highlights,F1: Bahrain Grand Prix in Malaysia; Football not checked (no 2026-27 fixture data captured),No trigger,Highlights and next-occasion prompt; no live acquisition spend,Covered: ATP Tour package (C),"Medium: published date, modelled time (A)",True,18.0
165,Beijing,500,2026-09-30,2026-10-06,ATP calendar end date (O),Day session,14:00 (modelled),Asia/Shanghai,2026-09-30,11:30,0/12,Daytime: highlights,F1: Bahrain Grand Prix in Malaysia; Football not checked (no 2026-27 fixture data captured),No trigger,Highlights and next-occasion prompt; no live acquisition spend,Covered: ATP Tour package (C),"Low: inherited date, modelled time (A)",True,18.0
